Endpoint,Http verb,Response component (and define that component),Source
/1/user/user-id/activities/resource/date/start-date/end-date/detail-level.json,GET,"activities-:value (String): The specified resource's daily total; activities--intraday:dataset:value (Integer/Double): The specified resource's value at the specific time recorded; activities--intraday:dataset:level (Integer): Numerical value representing activity-level (0=sedentary, 1=lightly active, 2=moderately active, 3=very active); activities--intraday:dataset:mets (Integer): METs (Metabolic Equivalent of Task) value at the moment the resource was recorded (returned for calories).",1
api/v1/administration/projects/:projectID/fitbit,GET,dailySummaries.count (Integer): Number of data samples available for daily summaries; sleepLogs.mostRecentResultDate (Date): Date of the most recent sleep log sample in ISO8601 format.,2
api/v1/administration/projects/:projectID/fitbit/dailySummaries,GET,resultsn.activityCalories (Integer): Calories burned from periods above sedentary level; resultsn.restingHeartRate (Integer): Average resting heart rate for the day.,2
api/v1/administration/projects/:projectID/fitbit/sleepLogs,GET,"resultsn.efficiency (Integer): A gauge of sleep efficiency; resultsn.type (String): The kind of sleep data, either 'stages' or 'classic'; resultsn.minutesAsleep (Integer): Total minutes the user spent asleep.",2
/1/user/-/activities/date/{date}.json,GET,"activityCalories (Integer): Calories burned during periods of movement above sedentary level, excluding BMR; steps (Integer): Total cumulative steps for the requested 24-hour period; floors (Integer): Calculated number of floors climbed based on barometric pressure; activeMinutes (Integer): Minutes spent in Moderate or Vigorous activity zones.",3
/1/user/-/activities/heart/date/{date}/{period}.json,GET,"restingHeartRate (Integer): The user's heart rate at complete rest for the day; heartRateZones (Object): Dynamic intensity categories (Peak, Cardio, Fat Burn, Out of Range) based on max heart rate; activeZoneMinutes (Object): Data structure tracking AZM credits (1x for Fat Burn, 2x for Cardio/Peak).",3
/1.2/user/-/sleep/date/{date}.json,GET,data (Array): Contains sleep stages or wake periods lasting longer than three minutes; shortData (Array): Captures micro-arousals and brief transitions; efficiency (Integer): Proprietary metric calculated as (Minutes Asleep / Total Time in Bed)  $\times$  100; isMainSleep (Boolean): Identifier for the primary nocturnal event.,3
/1/user/-/activities/goals/{period}.json,GET/POST,activeZoneMinutes (Integer): A user-defined target for heart-pumping activity (earned by spending time in specific heart rate zones) serving as a basis for behavioral tracking.,3
/1/user/-/activities/{resource-path}/date/{date}/1d/{detail-level}.json,GET,"resource-path (Enum): The specific activity metric being queried, such as calories, steps, distance, floors, or elevation; detail-level (Enum): The granularity of data points, supporting 1min or 15min intervals.",3
/1/user/-/activities/{log-id}.tcx,GET,"TCX Data (XML): Training Center XML format payload containing lap data, latitude, longitude, and heart rate synchronized to GPS timestamps for exercises.",3
/1/user/-/body/log/weight/date/{date}.json,GET/POST,weight (Number): Value in X.XX format; fat (Number): Body fat percentage in X.XX format; date (Date): Calendar date of measurement; time (String): Specific time of measurement.,3
/1/user/-/body/log/weight/{body-weight-log-id}.json,DELETE,body-weight-log-id (String): The unique identifier required to specify which individual weight entry should be removed.,3
/1/user/-/body/log/{goal-type}/goal.json,GET,startWeight (Number): The baseline weight when the goal was set; targetWeight (Number): The specific weight goal the user aims to achieve.,3
/1/foods/search.json,GET,"foodId (Integer): Unique identifier for a food item in the global database; nutritionalValues (Object): Data structure containing calories, protein, fat, fiber, and other macronutrients.",3
/1/user/-/foods/log.json,POST,"mealTypeId (Integer): Identifier for meal occasion (1=Breakfast, 2=Snack, etc.); unitId (Integer): Unique identifier for measurement unit (cups, grams); amount (Decimal): The specific quantity of food consumed.",3
/1/user/-/devices.json,GET,id (String): Unique hardware identifier; deviceVersion (String): Product model name; batteryLevel (Integer): Numerical percentage of battery remaining (0-100); type (String): Hardware category (TRACKER or SCALE).,3
/1/user/-/devices/tracker/{tracker-id}/alarms.json,GET,weekDays (String): Comma-separated list of active days for the alarm; time (String): Alarm time in HH:mm format; snoozeLength (Integer): Duration of snooze interval in minutes.,3
